id,datovedt,distrikt,doklink
338457,19420602,Rønne,https://dokument.plandata.dk/20_1126652_APPROVED_1233745668109.pdf
565014,19470922,Rønne,https://dokument.plandata.dk/20_1126846_1686824222664.pdf
514397,19510713,Hasle,https://dokument.plandata.dk/20_1145782_APPROVED_1236867911645.pdf
609131,19550114,Rønne,https://dokument.plandata.dk/20_1129250_APPROVED_1234179187602.pdf
514354,19670123,Rønne,https://dokument.plandata.dk/20_1129310_1587989001942.pdf
426458,19671020,Svaneke,https://dokument.plandata.dk/20_1145832_APPROVED_1236870859289.pdf
482141,19700220,Allinge,https://dokument.plandata.dk/20_1128646_1593430320737.pdf
434643,19700727,Rønne,https://dokument.plandata.dk/20_1144722_APPROVED_1236770584607.pdf
433524,19700911,Allinge-Gudhjem,https://dokument.plandata.dk/20_1126646_APPROVED_1233745001156.pdf
338448,19701113,Hasle,https://dokument.plandata.dk/20_1126650_APPROVED_1233745386875.pdf
424089,19710113,Hasle,https://dokument.plandata.dk/20_1128635_APPROVED_1234170660094.pdf
435092,19710920,NA,https://dokument.plandata.dk/20_3013578_1440502272339.pdf
560373,19720228,Rønne,https://dokument.plandata.dk/20_1145069_APPROVED_1236779939899.pdf
435204,19731218,Rønne,https://dokument.plandata.dk/20_1145317_APPROVED_1287398679769.pdf
433290,19740123,Allinge-Gudhjem,https://dokument.plandata.dk/20_1126792_APPROVED_1233830322421.pdf
608640,19740612,Østermarie,https://dokument.plandata.dk/20_1129309_APPROVED_1234263419510.pdf
422896,19740701,Aakirkeby,https://dokument.plandata.dk/20_1126649_APPROVED_1233745014062.pdf
433622,19741014,NA,https://dokument.plandata.dk/20_3013577_1440501813761.pdf
338439,19750310,Rønne,https://dokument.plandata.dk/20_1145769_APPROVED_1236863413417.pdf
482132,19750514,Allinge-Sandvig,https://dokument.plandata.dk/20_1145764_1593430018835.pdf
435401,19750923,Rønne,https://dokument.plandata.dk/20_1145767_APPROVED_1357812584429.pdf
423003,19760121,Hasle,https://dokument.plandata.dk/20_1129308_APPROVED_1234263175965.pdf
426651,19760226,Aakirkeby,https://dokument.plandata.dk/20_1122520_APPROVED_1232365456375.pdf
338434,19760909,Nexø,https://dokument.plandata.dk/20_1128591_APPROVED_1234170058582.pdf
609332,19770707,Aakirkeby,https://dokument.plandata.dk/20_1126840_1508316754249.pdf
434398,19771205,Aakirkeby,https://dokument.plandata.dk/20_1122498_APPROVED_1232362578703.pdf
338431,19771219,Rønne,https://dokument.plandata.dk/20_1122635_APPROVED_1232447507000.pdf
421647,19780222,Allinge-Gudhjem,https://dokument.plandata.dk/20_1106295_APPROVED_1221133099411.pdf
591821,19780225,Aakirkeby,https://dokument.plandata.dk/20_1122524_1719917020266.pdf
433506,19780626,Rønne,https://dokument.plandata.dk/20_1122645_APPROVED_1232448894609.pdf
434599,19780911,Rønne,https://dokument.plandata.dk/20_1123059_APPROVED_1232535008062.pdf
562433,19780925,Aakirkeby,https://dokument.plandata.dk/20_1122532_APPROVED_1232369742437.pdf
422343,19780927,Hasle,https://dokument.plandata.dk/20_1145772_APPROVED_1236864088259.pdf
608639,19780927,Hasle,https://dokument.plandata.dk/20_1129305_APPROVED_1234262688390.pdf
338423,19790612,Nexø,https://dokument.plandata.dk/20_1122535_APPROVED_1232370569156.pdf
338422,19790612,Nexø,https://dokument.plandata.dk/20_1122492_APPROVED_1232360253406.pdf
426731,19790820,Aakirkeby,https://dokument.plandata.dk/20_1122512_APPROVED_1232363686218.pdf
435094,19790926,Allinge-Gudhjem,https://dokument.plandata.dk/20_1129623_APPROVED_1234267541890.pdf
433184,19790926,Hasle,https://dokument.plandata.dk/20_1145770_APPROVED_1236863680832.pdf
554838,19791015,Rønne,https://dokument.plandata.dk/20_1122541_1508320581960.pdf
514349,19791107,Hasle,https://dokument.plandata.dk/20_1126879_APPROVED_1233848913082.pdf
435119,19800225,Allinge-Gudhjem,https://dokument.plandata.dk/20_1145361_1514996833839.pdf
434534,19800423,Hasle,https://dokument.plandata.dk/20_1145773_APPROVED_1236864410907.pdf
