TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2024-12-31 22:00:00;2024-12-31 23:00:00;Region Hovedstaden;Privat;Privat;313883,340000
2024-12-31 21:00:00;2024-12-31 22:00:00;Region Hovedstaden;Privat;Privat;331891,175000
2024-12-31 20:00:00;2024-12-31 21:00:00;Region Hovedstaden;Privat;Privat;357838,181000
2024-12-31 19:00:00;2024-12-31 20:00:00;Region Hovedstaden;Privat;Privat;394327,576000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Hovedstaden;Privat;Privat;459932,921000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Hovedstaden;Privat;Privat;516387,977000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Hovedstaden;Privat;Privat;502298,772000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Hovedstaden;Privat;Privat;482841,172000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Hovedstaden;Privat;Privat;458901,668000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Hovedstaden;Privat;Privat;438774,471000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Hovedstaden;Privat;Privat;427079,374000
2024-12-31 11:00:00;2024-12-31 12:00:00;Region Hovedstaden;Privat;Privat;417638,644000
2024-12-31 10:00:00;2024-12-31 11:00:00;Region Hovedstaden;Privat;Privat;395730,451000
2024-12-31 09:00:00;2024-12-31 10:00:00;Region Hovedstaden;Privat;Privat;372993,077000
2024-12-31 08:00:00;2024-12-31 09:00:00;Region Hovedstaden;Privat;Privat;334624,652000
2024-12-31 07:00:00;2024-12-31 08:00:00;Region Hovedstaden;Privat;Privat;280904,518000
2024-12-31 06:00:00;2024-12-31 07:00:00;Region Hovedstaden;Privat;Privat;235743,490000
2024-12-31 05:00:00;2024-12-31 06:00:00;Region Hovedstaden;Privat;Privat;213328,715000
2024-12-31 04:00:00;2024-12-31 05:00:00;Region Hovedstaden;Privat;Privat;210967,322000
2024-12-31 03:00:00;2024-12-31 04:00:00;Region Hovedstaden;Privat;Privat;223545,904000
2024-12-31 02:00:00;2024-12-31 03:00:00;Region Hovedstaden;Privat;Privat;251002,215000
2024-12-31 01:00:00;2024-12-31 02:00:00;Region Hovedstaden;Privat;Privat;290613,208000
2024-12-31 00:00:00;2024-12-31 01:00:00;Region Hovedstaden;Privat;Privat;334813,248000
2024-12-30 23:00:00;2024-12-31 00:00:00;Region Hovedstaden;Privat;Privat;367819,226000
2024-12-30 22:00:00;2024-12-30 23:00:00;Region Hovedstaden;Privat;Privat;330201,203000
2024-12-30 21:00:00;2024-12-30 22:00:00;Region Hovedstaden;Privat;Privat;350401,689000
2024-12-30 20:00:00;2024-12-30 21:00:00;Region Hovedstaden;Privat;Privat;377298,040000
2024-12-30 19:00:00;2024-12-30 20:00:00;Region Hovedstaden;Privat;Privat;399784,944000
2024-12-30 18:00:00;2024-12-30 19:00:00;Region Hovedstaden;Privat;Privat;435632,478000
2024-12-30 17:00:00;2024-12-30 18:00:00;Region Hovedstaden;Privat;Privat;472918,567000
2024-12-30 16:00:00;2024-12-30 17:00:00;Region Hovedstaden;Privat;Privat;462111,825000
2024-12-30 15:00:00;2024-12-30 16:00:00;Region Hovedstaden;Privat;Privat;410898,340000
2024-12-30 14:00:00;2024-12-30 15:00:00;Region Hovedstaden;Privat;Privat;383443,162000
2024-12-30 13:00:00;2024-12-30 14:00:00;Region Hovedstaden;Privat;Privat;373386,547000
2024-12-30 12:00:00;2024-12-30 13:00:00;Region Hovedstaden;Privat;Privat;367947,655000
2024-12-30 11:00:00;2024-12-30 12:00:00;Region Hovedstaden;Privat;Privat;362206,799000
2024-12-30 10:00:00;2024-12-30 11:00:00;Region Hovedstaden;Privat;Privat;352526,841000
2024-12-30 09:00:00;2024-12-30 10:00:00;Region Hovedstaden;Privat;Privat;342685,431000
2024-12-30 08:00:00;2024-12-30 09:00:00;Region Hovedstaden;Privat;Privat;324104,392000
2024-12-30 07:00:00;2024-12-30 08:00:00;Region Hovedstaden;Privat;Privat;284158,470000
2024-12-30 06:00:00;2024-12-30 07:00:00;Region Hovedstaden;Privat;Privat;242171,034000
2024-12-30 05:00:00;2024-12-30 06:00:00;Region Hovedstaden;Privat;Privat;217537,981000
2024-12-30 04:00:00;2024-12-30 05:00:00;Region Hovedstaden;Privat;Privat;221438,543000
2024-12-30 03:00:00;2024-12-30 04:00:00;Region Hovedstaden;Privat;Privat;248193,145000
2024-12-30 02:00:00;2024-12-30 03:00:00;Region Hovedstaden;Privat;Privat;292492,990000
2024-12-30 01:00:00;2024-12-30 02:00:00;Region Hovedstaden;Privat;Privat;336975,974000
2024-12-30 00:00:00;2024-12-30 01:00:00;Region Hovedstaden;Privat;Privat;370846,391000
2024-12-29 23:00:00;2024-12-30 00:00:00;Region Hovedstaden;Privat;Privat;378239,520000
2024-12-29 22:00:00;2024-12-29 23:00:00;Region Hovedstaden;Privat;Privat;313822,564000
2024-12-29 21:00:00;2024-12-29 22:00:00;Region Hovedstaden;Privat;Privat;344860,013000
2024-12-29 20:00:00;2024-12-29 21:00:00;Region Hovedstaden;Privat;Privat;368491,347000
2024-12-29 19:00:00;2024-12-29 20:00:00;Region Hovedstaden;Privat;Privat;385796,173000
2024-12-29 18:00:00;2024-12-29 19:00:00;Region Hovedstaden;Privat;Privat;423729,663000
2024-12-29 17:00:00;2024-12-29 18:00:00;Region Hovedstaden;Privat;Privat;466357,696000
2024-12-29 16:00:00;2024-12-29 17:00:00;Region Hovedstaden;Privat;Privat;464259,268000
2024-12-29 15:00:00;2024-12-29 16:00:00;Region Hovedstaden;Privat;Privat;418790,057000
2024-12-29 14:00:00;2024-12-29 15:00:00;Region Hovedstaden;Privat;Privat;394118,869000
2024-12-29 13:00:00;2024-12-29 14:00:00;Region Hovedstaden;Privat;Privat;389720,074000
2024-12-29 12:00:00;2024-12-29 13:00:00;Region Hovedstaden;Privat;Privat;396578,348000
2024-12-29 11:00:00;2024-12-29 12:00:00;Region Hovedstaden;Privat;Privat;405537,745000
