HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-12-31 22:00:00;2024-12-31 23:00:00;DK1;3,880000;0,520000
2024-12-31 21:00:00;2024-12-31 22:00:00;DK1;67,580002;9,060000
2024-12-31 20:00:00;2024-12-31 21:00:00;DK1;117,120003;15,700000
2024-12-31 19:00:00;2024-12-31 20:00:00;DK1;141,729996;19,000000
2024-12-31 18:00:00;2024-12-31 19:00:00;DK1;186,639999;25,020000
2024-12-31 17:00:00;2024-12-31 18:00:00;DK1;193,800003;25,980000
2024-12-31 16:00:00;2024-12-31 17:00:00;DK1;156,279999;20,950001
2024-12-31 15:00:00;2024-12-31 16:00:00;DK1;139,270004;18,670000
2024-12-31 14:00:00;2024-12-31 15:00:00;DK1;126,820000;17,000000
2024-12-31 13:00:00;2024-12-31 14:00:00;DK1;149,050003;19,980000
2024-12-31 12:00:00;2024-12-31 13:00:00;DK1;271,089996;36,340000
2024-12-31 11:00:00;2024-12-31 12:00:00;DK1;276,829987;37,110001
2024-12-31 10:00:00;2024-12-31 11:00:00;DK1;316,739990;42,459999
2024-12-31 09:00:00;2024-12-31 10:00:00;DK1;357,470001;47,919998
2024-12-31 08:00:00;2024-12-31 09:00:00;DK1;622,590027;83,459999
2024-12-31 07:00:00;2024-12-31 08:00:00;DK1;585,070007;78,430000
2024-12-31 06:00:00;2024-12-31 07:00:00;DK1;387,010010;51,880001
2024-12-31 05:00:00;2024-12-31 06:00:00;DK1;298,390015;40,000000
2024-12-31 04:00:00;2024-12-31 05:00:00;DK1;225,360001;30,209999
2024-12-31 03:00:00;2024-12-31 04:00:00;DK1;230,360001;30,879999
2024-12-31 02:00:00;2024-12-31 03:00:00;DK1;260,339996;34,900002
2024-12-31 01:00:00;2024-12-31 02:00:00;DK1;420,950012;56,430000
2024-12-31 00:00:00;2024-12-31 01:00:00;DK1;342,399994;45,900002
2024-12-30 23:00:00;2024-12-31 00:00:00;DK1;376,640015;50,490002
2024-12-30 22:00:00;2024-12-30 23:00:00;DK1;266,010010;35,660000
2024-12-30 21:00:00;2024-12-30 22:00:00;DK1;219,979996;29,490000
2024-12-30 20:00:00;2024-12-30 21:00:00;DK1;234,300003;31,410000
2024-12-30 19:00:00;2024-12-30 20:00:00;DK1;234,970001;31,500000
2024-12-30 18:00:00;2024-12-30 19:00:00;DK1;246,160004;33,000000
2024-12-30 17:00:00;2024-12-30 18:00:00;DK1;274,959991;36,860001
2024-12-30 16:00:00;2024-12-30 17:00:00;DK1;292,190002;39,169998
2024-12-30 15:00:00;2024-12-30 16:00:00;DK1;296,369995;39,730000
2024-12-30 14:00:00;2024-12-30 15:00:00;DK1;279,209991;37,430000
2024-12-30 13:00:00;2024-12-30 14:00:00;DK1;268,989990;36,060001
2024-12-30 12:00:00;2024-12-30 13:00:00;DK1;258,170013;34,610001
2024-12-30 11:00:00;2024-12-30 12:00:00;DK1;270,929993;36,320000
2024-12-30 10:00:00;2024-12-30 11:00:00;DK1;286,070007;38,349998
2024-12-30 09:00:00;2024-12-30 10:00:00;DK1;286,670013;38,430000
2024-12-30 08:00:00;2024-12-30 09:00:00;DK1;271,380005;36,380001
2024-12-30 07:00:00;2024-12-30 08:00:00;DK1;278,390015;37,320000
2024-12-30 06:00:00;2024-12-30 07:00:00;DK1;254,520004;34,119999
2024-12-30 05:00:00;2024-12-30 06:00:00;DK1;191,110001;25,620001
2024-12-30 04:00:00;2024-12-30 05:00:00;DK1;129,649994;17,379999
2024-12-30 03:00:00;2024-12-30 04:00:00;DK1;145,529999;19,510000
2024-12-30 02:00:00;2024-12-30 03:00:00;DK1;123,529999;16,559999
2024-12-30 01:00:00;2024-12-30 02:00:00;DK1;100,400002;13,460000
2024-12-30 00:00:00;2024-12-30 01:00:00;DK1;100,260002;13,440000
2024-12-29 23:00:00;2024-12-30 00:00:00;DK1;26,780001;3,590000
2024-12-29 22:00:00;2024-12-29 23:00:00;DK1;91,080002;12,210000
2024-12-29 21:00:00;2024-12-29 22:00:00;DK1;149,259995;20,010000
2024-12-29 20:00:00;2024-12-29 21:00:00;DK1;173,059998;23,200001
2024-12-29 19:00:00;2024-12-29 20:00:00;DK1;175,520004;23,530001
2024-12-29 18:00:00;2024-12-29 19:00:00;DK1;180,669998;24,219999
2024-12-29 17:00:00;2024-12-29 18:00:00;DK1;186,339996;24,980000
2024-12-29 16:00:00;2024-12-29 17:00:00;DK1;209,690002;28,110001
2024-12-29 15:00:00;2024-12-29 16:00:00;DK1;205,360001;27,530001
2024-12-29 14:00:00;2024-12-29 15:00:00;DK1;183,880005;24,650000
2024-12-29 13:00:00;2024-12-29 14:00:00;DK1;184,399994;24,719999
2024-12-29 12:00:00;2024-12-29 13:00:00;DK1;211,550003;28,360001
2024-12-29 11:00:00;2024-12-29 12:00:00;DK1;217,970001;29,219999
2024-12-29 10:00:00;2024-12-29 11:00:00;DK1;179,250000;24,030001
2024-12-29 09:00:00;2024-12-29 10:00:00;DK1;190,369995;25,520000
2024-12-29 08:00:00;2024-12-29 09:00:00;DK1;304,799988;40,860001
2024-12-29 07:00:00;2024-12-29 08:00:00;DK1;400,579987;53,700001
2024-12-29 06:00:00;2024-12-29 07:00:00;DK1;429,290009;57,549999
2024-12-29 05:00:00;2024-12-29 06:00:00;DK1;500,529999;67,099998
2024-12-29 04:00:00;2024-12-29 05:00:00;DK1;735,510010;98,599998
2024-12-29 03:00:00;2024-12-29 04:00:00;DK1;729,020020;97,730003
2024-12-29 02:00:00;2024-12-29 03:00:00;DK1;758,630005;101,699997
2024-12-29 01:00:00;2024-12-29 02:00:00;DK1;803,460022;107,709999
2024-12-29 00:00:00;2024-12-29 01:00:00;DK1;851,049988;114,089996
2024-12-28 23:00:00;2024-12-29 00:00:00;DK1;950,270020;127,389999
2024-12-28 22:00:00;2024-12-28 23:00:00;DK1;857,450012;114,930000
2024-12-28 21:00:00;2024-12-28 22:00:00;DK1;904,609985;121,250000
2024-12-28 20:00:00;2024-12-28 21:00:00;DK1;939,299988;125,900002
2024-12-28 19:00:00;2024-12-28 20:00:00;DK1;964,359985;129,259995
2024-12-28 18:00:00;2024-12-28 19:00:00;DK1;1048,069946;140,479996
