TimeUTC,load_kwh,TimeDK,RegionName,ConsumerCategory3,ConsumerCategory2
2023-12-31 23:00:00+00:00,0.5300342202031402,2024-01-01 00:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 00:00:00+00:00,0.5164126447307206,2024-01-01 01:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 01:00:00+00:00,0.4959596310879057,2024-01-01 02:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 02:00:00+00:00,0.46469431043502724,2024-01-01 03:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 03:00:00+00:00,0.42704504614791067,2024-01-01 04:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 04:00:00+00:00,0.3982114694600972,2024-01-01 05:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 05:00:00+00:00,0.37602601013413794,2024-01-01 06:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 06:00:00+00:00,0.3815779047998859,2024-01-01 07:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 07:00:00+00:00,0.421743248007508,2024-01-01 08:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 08:00:00+00:00,0.5001141979058998,2024-01-01 09:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 09:00:00+00:00,0.5753090713358582,2024-01-01 10:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 10:00:00+00:00,0.6318777488310706,2024-01-01 11:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 11:00:00+00:00,0.6617910497061976,2024-01-01 12:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 12:00:00+00:00,0.672675011443702,2024-01-01 13:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 13:00:00+00:00,0.6760121957898343,2024-01-01 14:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 14:00:00+00:00,0.6929493926345558,2024-01-01 15:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 15:00:00+00:00,0.7459970415430479,2024-01-01 16:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 16:00:00+00:00,0.8223929090062292,2024-01-01 17:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 17:00:00+00:00,0.8066550891016848,2024-01-01 18:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 18:00:00+00:00,0.729719090029339,2024-01-01 19:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 19:00:00+00:00,0.6695495674931132,2024-01-01 20:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 20:00:00+00:00,0.6262294993382068,2024-01-01 21:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 21:00:00+00:00,0.565194615370102,2024-01-01 22:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 22:00:00+00:00,0.5099255745839107,2024-01-01 23:00:00,Region Hovedstaden,Privat,Privat
2024-01-01 23:00:00+00:00,0.5056377111154569,2024-01-02 00:00:00,Region Hovedstaden,Privat,Privat
