TimeUTC;TimeDK;PriceArea;DayAheadPriceEUR;DayAheadPriceDKK
2025-12-31 22:45:00;2025-12-31 23:45:00;DK1;61,400002;458,590475
2025-12-31 22:30:00;2025-12-31 23:30:00;DK1;65,889999;492,125814
2025-12-31 22:15:00;2025-12-31 23:15:00;DK1;67,190002;501,835406
2025-12-31 22:00:00;2025-12-31 23:00:00;DK1;70,769997;528,574031
2025-12-31 21:45:00;2025-12-31 22:45:00;DK1;66,980003;500,266944
2025-12-31 21:30:00;2025-12-31 22:30:00;DK1;68,639999;512,665289
2025-12-31 21:15:00;2025-12-31 22:15:00;DK1;73,769997;550,980731
2025-12-31 21:00:00;2025-12-31 22:00:00;DK1;82,610001;617,005836
2025-12-31 20:45:00;2025-12-31 21:45:00;DK1;69,680000;520,432952
2025-12-31 20:30:00;2025-12-31 21:30:00;DK1;76,720001;573,014015
2025-12-31 20:15:00;2025-12-31 21:15:00;DK1;81,820000;611,105398
2025-12-31 20:00:00;2025-12-31 21:00:00;DK1;85,500000;638,590950
2025-12-31 19:45:00;2025-12-31 20:45:00;DK1;74,699997;557,926808
2025-12-31 19:30:00;2025-12-31 20:30:00;DK1;82,050003;612,823267
2025-12-31 19:15:00;2025-12-31 20:15:00;DK1;85,529999;638,815010
2025-12-31 19:00:00;2025-12-31 20:00:00;DK1;89,709999;670,035012
2025-12-31 18:45:00;2025-12-31 19:45:00;DK1;90,589996;676,607621
2025-12-31 18:30:00;2025-12-31 19:30:00;DK1;97,870003;730,981265
2025-12-31 18:15:00;2025-12-31 19:15:00;DK1;94,669998;707,080748
2025-12-31 18:00:00;2025-12-31 19:00:00;DK1;100,830002;753,089202
2025-12-31 17:45:00;2025-12-31 18:45:00;DK1;101,500000;758,093350
2025-12-31 17:30:00;2025-12-31 18:30:00;DK1;105,650002;789,089300
2025-12-31 17:15:00;2025-12-31 18:15:00;DK1;112,849998;842,865350
2025-12-31 17:00:00;2025-12-31 18:00:00;DK1;110,110001;822,400586
2025-12-31 16:45:00;2025-12-31 17:45:00;DK1;119,239998;890,591621
2025-12-31 16:30:00;2025-12-31 17:30:00;DK1;109,019997;814,259456
2025-12-31 16:15:00;2025-12-31 17:15:00;DK1;106,330002;794,168152
2025-12-31 16:00:00;2025-12-31 17:00:00;DK1;105,809998;790,284294
2025-12-31 15:45:00;2025-12-31 16:45:00;DK1;107,870003;805,670265
2025-12-31 15:30:00;2025-12-31 16:30:00;DK1;103,690002;774,450256
2025-12-31 15:15:00;2025-12-31 16:15:00;DK1;100,660004;751,819504
2025-12-31 15:00:00;2025-12-31 16:00:00;DK1;90,599998;676,682325
2025-12-31 14:45:00;2025-12-31 15:45:00;DK1;96,879997;723,587010
2025-12-31 14:30:00;2025-12-31 15:30:00;DK1;91,699997;684,898108
2025-12-31 14:15:00;2025-12-31 15:15:00;DK1;89,760002;670,408479
2025-12-31 14:00:00;2025-12-31 15:00:00;DK1;84,989998;634,781796
2025-12-31 13:45:00;2025-12-31 14:45:00;DK1;87,500000;653,528750
2025-12-31 13:30:00;2025-12-31 14:30:00;DK1;85,199997;636,350258
2025-12-31 13:15:00;2025-12-31 14:15:00;DK1;85,389999;637,769364
2025-12-31 13:00:00;2025-12-31 14:00:00;DK1;82,620003;617,080540
2025-12-31 12:45:00;2025-12-31 13:45:00;DK1;88,440002;660,549531
2025-12-31 12:30:00;2025-12-31 13:30:00;DK1;85,000000;634,856500
2025-12-31 12:15:00;2025-12-31 13:15:00;DK1;84,139999;628,433239
2025-12-31 12:00:00;2025-12-31 13:00:00;DK1;83,099998;620,665575
2025-12-31 11:45:00;2025-12-31 12:45:00;DK1;84,889999;634,034914
2025-12-31 11:30:00;2025-12-31 12:30:00;DK1;82,000000;612,449800
2025-12-31 11:15:00;2025-12-31 12:15:00;DK1;82,000000;612,449800
2025-12-31 11:00:00;2025-12-31 12:00:00;DK1;83,300003;622,159392
2025-12-31 10:45:00;2025-12-31 11:45:00;DK1;80,000000;597,512000
2025-12-31 10:30:00;2025-12-31 11:30:00;DK1;82,059998;612,897919
2025-12-31 10:15:00;2025-12-31 11:15:00;DK1;83,930000;626,864777
2025-12-31 10:00:00;2025-12-31 11:00:00;DK1;87,930000;656,740377
2025-12-31 09:45:00;2025-12-31 10:45:00;DK1;82,739998;617,976771
2025-12-31 09:30:00;2025-12-31 10:30:00;DK1;87,239998;651,586821
2025-12-31 09:15:00;2025-12-31 10:15:00;DK1;89,820000;670,856598
2025-12-31 09:00:00;2025-12-31 10:00:00;DK1;97,250000;726,350525
2025-12-31 08:45:00;2025-12-31 09:45:00;DK1;84,750000;632,989275
2025-12-31 08:30:00;2025-12-31 09:30:00;DK1;94,000000;702,076600
2025-12-31 08:15:00;2025-12-31 09:15:00;DK1;99,800003;745,396242
2025-12-31 08:00:00;2025-12-31 09:00:00;DK1;102,790001;767,728238
2025-12-31 07:45:00;2025-12-31 08:45:00;DK1;96,910004;723,811129
2025-12-31 07:30:00;2025-12-31 08:30:00;DK1;97,080002;725,080827
2025-12-31 07:15:00;2025-12-31 08:15:00;DK1;98,389999;734,865064
2025-12-31 07:00:00;2025-12-31 08:00:00;DK1;90,790001;678,101438
2025-12-31 06:45:00;2025-12-31 07:45:00;DK1;90,510002;676,010154
2025-12-31 06:30:00;2025-12-31 07:30:00;DK1;87,169998;651,063998
2025-12-31 06:15:00;2025-12-31 07:15:00;DK1;82,150002;613,570150
2025-12-31 06:00:00;2025-12-31 07:00:00;DK1;79,559998;594,225669
2025-12-31 05:45:00;2025-12-31 06:45:00;DK1;80,940002;604,532781
2025-12-31 05:30:00;2025-12-31 06:30:00;DK1;81,019997;605,130256
2025-12-31 05:15:00;2025-12-31 06:15:00;DK1;80,410004;600,574279
2025-12-31 05:00:00;2025-12-31 06:00:00;DK1;77,820000;581,229798
2025-12-31 04:45:00;2025-12-31 05:45:00;DK1;80,739998;603,038971
2025-12-31 04:30:00;2025-12-31 05:30:00;DK1;78,050003;582,947667
2025-12-31 04:15:00;2025-12-31 05:15:00;DK1;75,620003;564,798240
2025-12-31 04:00:00;2025-12-31 05:00:00;DK1;74,900002;559,420625
2025-12-31 03:45:00;2025-12-31 04:45:00;DK1;75,599998;564,648825
2025-12-31 03:30:00;2025-12-31 04:30:00;DK1;74,709999;558,001512
2025-12-31 03:15:00;2025-12-31 04:15:00;DK1;75,010002;560,242204
2025-12-31 03:00:00;2025-12-31 04:00:00;DK1;74,410004;555,760879
2025-12-31 02:45:00;2025-12-31 03:45:00;DK1;75,099998;560,914375
2025-12-31 02:30:00;2025-12-31 03:30:00;DK1;75,029999;560,391560
2025-12-31 02:15:00;2025-12-31 03:15:00;DK1;76,190002;569,055506
2025-12-31 02:00:00;2025-12-31 03:00:00;DK1;80,000000;597,512000
2025-12-31 01:45:00;2025-12-31 02:45:00;DK1;77,000000;575,105300
2025-12-31 01:30:00;2025-12-31 02:30:00;DK1;79,250000;591,910325
2025-12-31 01:15:00;2025-12-31 02:15:00;DK1;81,059998;605,429019
2025-12-31 01:00:00;2025-12-31 02:00:00;DK1;83,540001;623,951913
2025-12-31 00:45:00;2025-12-31 01:45:00;DK1;81,089996;605,653071
2025-12-31 00:30:00;2025-12-31 01:30:00;DK1;82,669998;617,453948
2025-12-31 00:15:00;2025-12-31 01:15:00;DK1;83,480003;623,503794
2025-12-31 00:00:00;2025-12-31 01:00:00;DK1;90,110001;673,022586
2025-12-30 23:45:00;2025-12-31 00:45:00;DK1;80,959999;604,682137
2025-12-30 23:30:00;2025-12-31 00:30:00;DK1;86,190002;643,744506
2025-12-30 23:15:00;2025-12-31 00:15:00;DK1;90,309998;674,516344
2025-12-30 23:00:00;2025-12-31 00:00:00;DK1;94,870003;708,574565
2025-12-30 22:45:00;2025-12-30 23:45:00;DK1;77,730003;580,557619
2025-12-30 22:30:00;2025-12-30 23:30:00;DK1;82,190002;613,868906
2025-12-30 22:15:00;2025-12-30 23:15:00;DK1;88,449997;660,624183
2025-12-30 22:00:00;2025-12-30 23:00:00;DK1;94,860001;708,499861
2025-12-30 21:45:00;2025-12-30 22:45:00;DK1;83,290001;622,084688
2025-12-30 21:30:00;2025-12-30 22:30:00;DK1;89,480003;668,317194
2025-12-30 21:15:00;2025-12-30 22:15:00;DK1;93,919998;701,479073
2025-12-30 21:00:00;2025-12-30 22:00:00;DK1;101,489998;758,018646
2025-12-30 20:45:00;2025-12-30 21:45:00;DK1;86,419998;645,462323
2025-12-30 20:30:00;2025-12-30 21:30:00;DK1;90,059998;672,649119
2025-12-30 20:15:00;2025-12-30 21:15:00;DK1;94,650002;706,931400
2025-12-30 20:00:00;2025-12-30 21:00:00;DK1;100,849998;753,238550
2025-12-30 19:45:00;2025-12-30 20:45:00;DK1;95,110001;710,367086
2025-12-30 19:30:00;2025-12-30 20:30:00;DK1;100,370003;749,653515
2025-12-30 19:15:00;2025-12-30 20:15:00;DK1;102,389999;764,740664
2025-12-30 19:00:00;2025-12-30 20:00:00;DK1;104,769997;782,516631
2025-12-30 18:45:00;2025-12-30 19:45:00;DK1;104,750000;782,367275
