TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2025-12-31 22:00:00;2025-12-31 23:00:00;Region Hovedstaden;Privat;Privat;363313,425000
2025-12-31 21:00:00;2025-12-31 22:00:00;Region Hovedstaden;Privat;Privat;385531,952000
2025-12-31 20:00:00;2025-12-31 21:00:00;Region Hovedstaden;Privat;Privat;414433,050000
2025-12-31 19:00:00;2025-12-31 20:00:00;Region Hovedstaden;Privat;Privat;455530,809000
2025-12-31 18:00:00;2025-12-31 19:00:00;Region Hovedstaden;Privat;Privat;519578,329000
2025-12-31 17:00:00;2025-12-31 18:00:00;Region Hovedstaden;Privat;Privat;571737,461000
2025-12-31 16:00:00;2025-12-31 17:00:00;Region Hovedstaden;Privat;Privat;562658,666000
2025-12-31 15:00:00;2025-12-31 16:00:00;Region Hovedstaden;Privat;Privat;531842,507000
2025-12-31 14:00:00;2025-12-31 15:00:00;Region Hovedstaden;Privat;Privat;489398,238000
2025-12-31 13:00:00;2025-12-31 14:00:00;Region Hovedstaden;Privat;Privat;461057,152000
2025-12-31 12:00:00;2025-12-31 13:00:00;Region Hovedstaden;Privat;Privat;447534,320000
2025-12-31 11:00:00;2025-12-31 12:00:00;Region Hovedstaden;Privat;Privat;441710,184000
2025-12-31 10:00:00;2025-12-31 11:00:00;Region Hovedstaden;Privat;Privat;437706,818000
2025-12-31 09:00:00;2025-12-31 10:00:00;Region Hovedstaden;Privat;Privat;431122,642000
2025-12-31 08:00:00;2025-12-31 09:00:00;Region Hovedstaden;Privat;Privat;409343,316000
2025-12-31 07:00:00;2025-12-31 08:00:00;Region Hovedstaden;Privat;Privat;355742,977000
2025-12-31 06:00:00;2025-12-31 07:00:00;Region Hovedstaden;Privat;Privat;305849,126000
2025-12-31 05:00:00;2025-12-31 06:00:00;Region Hovedstaden;Privat;Privat;282405,077000
2025-12-31 04:00:00;2025-12-31 05:00:00;Region Hovedstaden;Privat;Privat;301136,018000
2025-12-31 03:00:00;2025-12-31 04:00:00;Region Hovedstaden;Privat;Privat;342441,203000
2025-12-31 02:00:00;2025-12-31 03:00:00;Region Hovedstaden;Privat;Privat;368854,117000
2025-12-31 01:00:00;2025-12-31 02:00:00;Region Hovedstaden;Privat;Privat;379462,923000
2025-12-31 00:00:00;2025-12-31 01:00:00;Region Hovedstaden;Privat;Privat;389623,047000
2025-12-30 23:00:00;2025-12-31 00:00:00;Region Hovedstaden;Privat;Privat;397569,275000
2025-12-30 22:00:00;2025-12-30 23:00:00;Region Hovedstaden;Privat;Privat;396869,704000
2025-12-30 21:00:00;2025-12-30 22:00:00;Region Hovedstaden;Privat;Privat;428132,409000
2025-12-30 20:00:00;2025-12-30 21:00:00;Region Hovedstaden;Privat;Privat;456068,075000
2025-12-30 19:00:00;2025-12-30 20:00:00;Region Hovedstaden;Privat;Privat;476895,792000
2025-12-30 18:00:00;2025-12-30 19:00:00;Region Hovedstaden;Privat;Privat;508290,936000
2025-12-30 17:00:00;2025-12-30 18:00:00;Region Hovedstaden;Privat;Privat;541088,101000
2025-12-30 16:00:00;2025-12-30 17:00:00;Region Hovedstaden;Privat;Privat;524105,917000
2025-12-30 15:00:00;2025-12-30 16:00:00;Region Hovedstaden;Privat;Privat;465840,018000
2025-12-30 14:00:00;2025-12-30 15:00:00;Region Hovedstaden;Privat;Privat;422620,485000
2025-12-30 13:00:00;2025-12-30 14:00:00;Region Hovedstaden;Privat;Privat;403603,108000
2025-12-30 12:00:00;2025-12-30 13:00:00;Region Hovedstaden;Privat;Privat;399780,224000
2025-12-30 11:00:00;2025-12-30 12:00:00;Region Hovedstaden;Privat;Privat;400720,561000
2025-12-30 10:00:00;2025-12-30 11:00:00;Region Hovedstaden;Privat;Privat;399395,835000
2025-12-30 09:00:00;2025-12-30 10:00:00;Region Hovedstaden;Privat;Privat;399865,735000
2025-12-30 08:00:00;2025-12-30 09:00:00;Region Hovedstaden;Privat;Privat;392283,653000
2025-12-30 07:00:00;2025-12-30 08:00:00;Region Hovedstaden;Privat;Privat;358230,205000
2025-12-30 06:00:00;2025-12-30 07:00:00;Region Hovedstaden;Privat;Privat;313314,503000
2025-12-30 05:00:00;2025-12-30 06:00:00;Region Hovedstaden;Privat;Privat;286492,250000
2025-12-30 04:00:00;2025-12-30 05:00:00;Region Hovedstaden;Privat;Privat;310697,661000
2025-12-30 03:00:00;2025-12-30 04:00:00;Region Hovedstaden;Privat;Privat;333351,203000
2025-12-30 02:00:00;2025-12-30 03:00:00;Region Hovedstaden;Privat;Privat;350094,949000
2025-12-30 01:00:00;2025-12-30 02:00:00;Region Hovedstaden;Privat;Privat;367427,398000
2025-12-30 00:00:00;2025-12-30 01:00:00;Region Hovedstaden;Privat;Privat;379915,663000
2025-12-29 23:00:00;2025-12-30 00:00:00;Region Hovedstaden;Privat;Privat;386553,200000
2025-12-29 22:00:00;2025-12-29 23:00:00;Region Hovedstaden;Privat;Privat;379863,415000
2025-12-29 21:00:00;2025-12-29 22:00:00;Region Hovedstaden;Privat;Privat;393675,780000
2025-12-29 20:00:00;2025-12-29 21:00:00;Region Hovedstaden;Privat;Privat;418209,803000
2025-12-29 19:00:00;2025-12-29 20:00:00;Region Hovedstaden;Privat;Privat;441106,483000
2025-12-29 18:00:00;2025-12-29 19:00:00;Region Hovedstaden;Privat;Privat;473704,974000
2025-12-29 17:00:00;2025-12-29 18:00:00;Region Hovedstaden;Privat;Privat;510520,345000
2025-12-29 16:00:00;2025-12-29 17:00:00;Region Hovedstaden;Privat;Privat;501353,635000
2025-12-29 15:00:00;2025-12-29 16:00:00;Region Hovedstaden;Privat;Privat;448224,588000
2025-12-29 14:00:00;2025-12-29 15:00:00;Region Hovedstaden;Privat;Privat;407066,699000
2025-12-29 13:00:00;2025-12-29 14:00:00;Region Hovedstaden;Privat;Privat;387280,645000
2025-12-29 12:00:00;2025-12-29 13:00:00;Region Hovedstaden;Privat;Privat;380036,984000
2025-12-29 11:00:00;2025-12-29 12:00:00;Region Hovedstaden;Privat;Privat;376156,727000
2025-12-29 10:00:00;2025-12-29 11:00:00;Region Hovedstaden;Privat;Privat;370584,719000
2025-12-29 09:00:00;2025-12-29 10:00:00;Region Hovedstaden;Privat;Privat;375895,152000
2025-12-29 08:00:00;2025-12-29 09:00:00;Region Hovedstaden;Privat;Privat;373647,764000
2025-12-29 07:00:00;2025-12-29 08:00:00;Region Hovedstaden;Privat;Privat;340926,747000
2025-12-29 06:00:00;2025-12-29 07:00:00;Region Hovedstaden;Privat;Privat;295804,946000
2025-12-29 05:00:00;2025-12-29 06:00:00;Region Hovedstaden;Privat;Privat;268712,677000
2025-12-29 04:00:00;2025-12-29 05:00:00;Region Hovedstaden;Privat;Privat;274679,080000
2025-12-29 03:00:00;2025-12-29 04:00:00;Region Hovedstaden;Privat;Privat;317092,529000
2025-12-29 02:00:00;2025-12-29 03:00:00;Region Hovedstaden;Privat;Privat;373914,983000
2025-12-29 01:00:00;2025-12-29 02:00:00;Region Hovedstaden;Privat;Privat;405532,120000
2025-12-29 00:00:00;2025-12-29 01:00:00;Region Hovedstaden;Privat;Privat;413778,899000
2025-12-28 23:00:00;2025-12-29 00:00:00;Region Hovedstaden;Privat;Privat;399444,796000
2025-12-28 22:00:00;2025-12-28 23:00:00;Region Hovedstaden;Privat;Privat;360091,911000
2025-12-28 21:00:00;2025-12-28 22:00:00;Region Hovedstaden;Privat;Privat;378037,583000
2025-12-28 20:00:00;2025-12-28 21:00:00;Region Hovedstaden;Privat;Privat;398683,742000
2025-12-28 19:00:00;2025-12-28 20:00:00;Region Hovedstaden;Privat;Privat;415783,614000
2025-12-28 18:00:00;2025-12-28 19:00:00;Region Hovedstaden;Privat;Privat;449834,441000
2025-12-28 17:00:00;2025-12-28 18:00:00;Region Hovedstaden;Privat;Privat;488959,700000
2025-12-28 16:00:00;2025-12-28 17:00:00;Region Hovedstaden;Privat;Privat;487364,211000
2025-12-28 15:00:00;2025-12-28 16:00:00;Region Hovedstaden;Privat;Privat;438442,077000
2025-12-28 14:00:00;2025-12-28 15:00:00;Region Hovedstaden;Privat;Privat;395392,052000
