HourUTC,HourDK,PriceArea,SpotPriceDKK,price_dkk_per_kwh,price_ore_per_kwh,elnet,energinet,elafgift,spot_component_dkk_per_kwh,buy_price_dkk_per_kwh,sell_price_dkk_per_kwh
2024-12-31 23:00:00+00:00,2025-01-01 00:00:00,DK2,18.940001,0.018940000999999998,1.8940000999999997,0.1465,0.17,0.01,0.08617500125,0.41267500125,-0.069259999
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00,DK2,14.39,0.01439,1.439,0.1465,0.17,0.01,0.0804875,0.40698750000000006,-0.07381
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00,DK2,14.39,0.01439,1.439,0.1465,0.17,0.01,0.0804875,0.40698750000000006,-0.07381
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00,DK2,10.66,0.01066,1.0659999999999998,0.1465,0.17,0.01,0.075825,0.40232500000000004,-0.07754
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00,DK2,7.76,0.0077599999999999995,0.7759999999999999,0.1465,0.17,0.01,0.0722,0.39870000000000005,-0.08044
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00,DK2,17.0,0.017,1.7000000000000002,0.1465,0.17,0.01,0.08375,0.41025,-0.0712
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00,DK2,8.58,0.00858,0.8580000000000001,0.4396,0.17,0.01,0.073225,0.692825,-0.07962
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00,DK2,10.07,0.01007,1.0070000000000001,0.4396,0.17,0.01,0.0750875,0.6946875,-0.07813
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00,DK2,16.85,0.01685,1.685,0.4396,0.17,0.01,0.0835625,0.7031625,-0.07135
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00,DK2,18.940001,0.018940000999999998,1.8940000999999997,0.4396,0.17,0.01,0.08617500125,0.70577500125,-0.069259999
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00,DK2,26.4,0.0264,2.64,0.4396,0.17,0.01,0.0955,0.7151000000000001,-0.0618
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00,DK2,27.59,0.02759,2.759,0.4396,0.17,0.01,0.0969875,0.7165875,-0.06061
