HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-12-30 23:00:00;2024-12-31 00:00:00;DK1;376,640015;50,490002
2024-12-31 00:00:00;2024-12-31 01:00:00;DK1;342,399994;45,900002
2024-12-31 01:00:00;2024-12-31 02:00:00;DK1;420,950012;56,430000
2024-12-31 02:00:00;2024-12-31 03:00:00;DK1;260,339996;34,900002
2024-12-31 03:00:00;2024-12-31 04:00:00;DK1;230,360001;30,879999
2024-12-31 04:00:00;2024-12-31 05:00:00;DK1;225,360001;30,209999
2024-12-31 05:00:00;2024-12-31 06:00:00;DK1;298,390015;40,000000
2024-12-31 06:00:00;2024-12-31 07:00:00;DK1;387,010010;51,880001
2024-12-31 07:00:00;2024-12-31 08:00:00;DK1;585,070007;78,430000
2024-12-31 08:00:00;2024-12-31 09:00:00;DK1;622,590027;83,459999
2024-12-31 09:00:00;2024-12-31 10:00:00;DK1;357,470001;47,919998
2024-12-31 10:00:00;2024-12-31 11:00:00;DK1;316,739990;42,459999
2024-12-31 11:00:00;2024-12-31 12:00:00;DK1;276,829987;37,110001
2024-12-31 12:00:00;2024-12-31 13:00:00;DK1;271,089996;36,340000
2024-12-31 13:00:00;2024-12-31 14:00:00;DK1;149,050003;19,980000
2024-12-31 14:00:00;2024-12-31 15:00:00;DK1;126,820000;17,000000
2024-12-31 15:00:00;2024-12-31 16:00:00;DK1;139,270004;18,670000
2024-12-31 16:00:00;2024-12-31 17:00:00;DK1;156,279999;20,950001
2024-12-31 17:00:00;2024-12-31 18:00:00;DK1;193,800003;25,980000
2024-12-31 18:00:00;2024-12-31 19:00:00;DK1;186,639999;25,020000
2024-12-31 19:00:00;2024-12-31 20:00:00;DK1;141,729996;19,000000
2024-12-31 20:00:00;2024-12-31 21:00:00;DK1;117,120003;15,700000
2024-12-31 21:00:00;2024-12-31 22:00:00;DK1;67,580002;9,060000
2024-12-31 22:00:00;2024-12-31 23:00:00;DK1;3,880000;0,520000
2024-12-31 23:00:00;2025-01-01 00:00:00;DK1;16,110001;2,160000
2025-01-01 00:00:00;2025-01-01 01:00:00;DK1;11,930000;1,600000
2025-01-01 01:00:00;2025-01-01 02:00:00;DK1;12,160000;1,630000
2025-01-01 02:00:00;2025-01-01 03:00:00;DK1;8,130000;1,090000
2025-01-01 03:00:00;2025-01-01 04:00:00;DK1;3,510000;0,470000
2025-01-01 04:00:00;2025-01-01 05:00:00;DK1;0,000000;0,000000
2025-01-01 05:00:00;2025-01-01 06:00:00;DK1;5,670000;0,760000
2025-01-01 06:00:00;2025-01-01 07:00:00;DK1;5,890000;0,790000
2025-01-01 07:00:00;2025-01-01 08:00:00;DK1;14,100000;1,890000
2025-01-01 08:00:00;2025-01-01 09:00:00;DK1;15,810000;2,120000
2025-01-01 09:00:00;2025-01-01 10:00:00;DK1;26,400000;3,540000
2025-01-01 10:00:00;2025-01-01 11:00:00;DK1;27,590000;3,700000
2025-01-01 11:00:00;2025-01-01 12:00:00;DK1;27,969999;3,750000
2025-01-01 12:00:00;2025-01-01 13:00:00;DK1;28,410000;3,810000
2025-01-01 13:00:00;2025-01-01 14:00:00;DK1;40,049999;5,370000
2025-01-01 14:00:00;2025-01-01 15:00:00;DK1;91,580002;12,280000
2025-01-01 15:00:00;2025-01-01 16:00:00;DK1;147,070007;19,719999
2025-01-01 16:00:00;2025-01-01 17:00:00;DK1;165,419998;22,180000
2025-01-01 17:00:00;2025-01-01 18:00:00;DK1;130,070007;17,440001
2025-01-01 18:00:00;2025-01-01 19:00:00;DK1;76,070000;10,200000
2025-01-01 19:00:00;2025-01-01 20:00:00;DK1;59,660000;8,000000
2025-01-01 20:00:00;2025-01-01 21:00:00;DK1;50,189999;6,730000
