TimeUTC,load_kwh,TimeDK,RegionName,ConsumerCategory3,ConsumerCategory2
2024-12-30 23:00:00+00:00,0.6206373377363267,2024-12-31 00:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 00:00:00+00:00,0.5649449191042898,2024-12-31 01:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 01:00:00+00:00,0.4903642740092475,2024-12-31 02:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 02:00:00+00:00,0.42352692701148,2024-12-31 03:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 03:00:00+00:00,0.3771987022788756,2024-12-31 04:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 04:00:00+00:00,0.35597431515296146,2024-12-31 05:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 05:00:00+00:00,0.35995879601005837,2024-12-31 06:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 06:00:00+00:00,0.3977802183246134,2024-12-31 07:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 07:00:00+00:00,0.4739823801641789,2024-12-31 08:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 08:00:00+00:00,0.5646266928913193,2024-12-31 09:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 09:00:00+00:00,0.6293674009943153,2024-12-31 10:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 10:00:00+00:00,0.6677331585974134,2024-12-31 11:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 11:00:00+00:00,0.7046998031254882,2024-12-31 12:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 12:00:00+00:00,0.7206295564372074,2024-12-31 13:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 13:00:00+00:00,0.7403632009929385,2024-12-31 14:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 14:00:00+00:00,0.7743246937023341,2024-12-31 15:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 15:00:00+00:00,0.8147188574084155,2024-12-31 16:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 16:00:00+00:00,0.8475505100494831,2024-12-31 17:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 17:00:00+00:00,0.8713238369011398,2024-12-31 18:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 18:00:00+00:00,0.7760647716297794,2024-12-31 19:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 19:00:00+00:00,0.6653660267466797,2024-12-31 20:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 20:00:00+00:00,0.603795887483733,2024-12-31 21:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 21:00:00+00:00,0.5600143785582902,2024-12-31 22:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 22:00:00+00:00,0.5296289772992624,2024-12-31 23:00:00,Region Hovedstaden,Privat,Privat
2024-12-31 23:00:00+00:00,0.5317217167434719,2025-01-01 00:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 00:00:00+00:00,0.5375119975528461,2025-01-01 01:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 01:00:00+00:00,0.5105467046596793,2025-01-01 02:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 02:00:00+00:00,0.47578293079118644,2025-01-01 03:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 03:00:00+00:00,0.42721649399180867,2025-01-01 04:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 04:00:00+00:00,0.38191726356280564,2025-01-01 05:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 05:00:00+00:00,0.3590561921626838,2025-01-01 06:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 06:00:00+00:00,0.3628336866067863,2025-01-01 07:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 07:00:00+00:00,0.39405179013879305,2025-01-01 08:00:00,Region Hovedstaden,Privat,Privat
2025-01-01 08:00:00+00:00,0.46292140388120784,2025-01-01 09:00:00,Region Hovedstaden,Privat,Privat
