HourUTC,HourDK,PriceArea,price_dkk_per_kwh,price_ore_per_kwh,SpotPriceDKK,buy_price_dkk_per_kwh,sell_price_dkk_per_kwh
2024-12-30 23:00:00+00:00,2024-12-31 00:00:00,DK1,0.376640015,37.6640015,376.640015,2.4083000187500003,0.376640015
2024-12-31 00:00:00+00:00,2024-12-31 01:00:00,DK1,0.342399994,34.2399994,342.399994,2.3654999925,0.342399994
2024-12-31 01:00:00+00:00,2024-12-31 02:00:00,DK1,0.420950012,42.095001200000006,420.950012,2.463687515,0.420950012
2024-12-31 02:00:00+00:00,2024-12-31 03:00:00,DK1,0.2603399959999999,26.0339996,260.339996,2.262924995,0.2603399959999999
2024-12-31 03:00:00+00:00,2024-12-31 04:00:00,DK1,0.230360001,23.036000100000003,230.360001,2.2254500012500005,0.230360001
2024-12-31 04:00:00+00:00,2024-12-31 05:00:00,DK1,0.225360001,22.5360001,225.360001,2.2192000012500004,0.225360001
2024-12-31 05:00:00+00:00,2024-12-31 06:00:00,DK1,0.298390015,29.8390015,298.390015,2.3104875187500005,0.298390015
2024-12-31 06:00:00+00:00,2024-12-31 07:00:00,DK1,0.38701001,38.701001000000005,387.01001,2.4212625125000002,0.38701001
2024-12-31 07:00:00+00:00,2024-12-31 08:00:00,DK1,0.585070007,58.5070007,585.070007,2.6688375087500003,0.585070007
2024-12-31 08:00:00+00:00,2024-12-31 09:00:00,DK1,0.622590027,62.2590027,622.590027,2.71573753375,0.622590027
2024-12-31 09:00:00+00:00,2024-12-31 10:00:00,DK1,0.357470001,35.7470001,357.470001,2.3843375012500005,0.357470001
2024-12-31 10:00:00+00:00,2024-12-31 11:00:00,DK1,0.3167399899999999,31.673999,316.73999,2.3334249875,0.3167399899999999
2024-12-31 11:00:00+00:00,2024-12-31 12:00:00,DK1,0.276829987,27.6829987,276.829987,2.2835374837500004,0.276829987
2024-12-31 12:00:00+00:00,2024-12-31 13:00:00,DK1,0.271089996,27.1089996,271.089996,2.2763624950000003,0.271089996
2024-12-31 13:00:00+00:00,2024-12-31 14:00:00,DK1,0.149050003,14.9050003,149.050003,2.1238125037500004,0.149050003
2024-12-31 14:00:00+00:00,2024-12-31 15:00:00,DK1,0.12682,12.682,126.82,2.096025,0.12682
2024-12-31 15:00:00+00:00,2024-12-31 16:00:00,DK1,0.139270004,13.9270004,139.270004,2.1115875050000006,0.139270004
2024-12-31 16:00:00+00:00,2024-12-31 17:00:00,DK1,0.156279999,15.6279999,156.279999,2.1328499987500003,0.156279999
2024-12-31 17:00:00+00:00,2024-12-31 18:00:00,DK1,0.193800003,19.3800003,193.800003,2.17975000375,0.193800003
2024-12-31 18:00:00+00:00,2024-12-31 19:00:00,DK1,0.186639999,18.6639999,186.639999,2.1707999987500006,0.186639999
2024-12-31 19:00:00+00:00,2024-12-31 20:00:00,DK1,0.141729996,14.1729996,141.729996,2.114662495,0.141729996
2024-12-31 20:00:00+00:00,2024-12-31 21:00:00,DK1,0.117120003,11.7120003,117.120003,2.08390000375,0.117120003
2024-12-31 21:00:00+00:00,2024-12-31 22:00:00,DK1,0.067580002,6.7580002,67.580002,2.0219750025,0.067580002
2024-12-31 22:00:00+00:00,2024-12-31 23:00:00,DK1,0.0038799999999999,0.3879999999999999,3.88,1.9423500000000002,0.0038799999999999
2024-12-31 23:00:00+00:00,2025-01-01 00:00:00,DK1,0.016110001,1.6110000999999998,16.110001,1.9576375012500002,0.016110001
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00,DK1,0.01193,1.193,11.93,1.9524125000000003,0.01193
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00,DK1,0.01216,1.216,12.16,1.9527000000000003,0.01216
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00,DK1,0.00813,0.8130000000000001,8.13,1.9476625000000003,0.00813
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00,DK1,0.0035099999999999,0.351,3.51,1.9418875000000002,0.0035099999999999
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00,DK1,0.0,0.0,0.0,1.9375000000000004,0.0
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00,DK1,0.00567,0.567,5.67,1.9445875000000004,0.00567
